geo_code,variable,value
G1Y,average_age,46.1
G1Y,median_income,110000.0
G2A,population,15350.0
G2A,average_age,42.3
G2A,median_income,90000.0
G2B,population,24936.0
G2B,average_age,43.1
G2B,median_income,76500.0
G2C,population,12283.0
G2C,average_age,44.7
G2C,median_income,80000.0
G2E,population,21054.0
G2E,average_age,45.6
G2E,median_income,86000.0
G2G,population,10790.0
G2G,average_age,42.7
G2G,median_income,90000.0
G2J,population,3223.0
G2J,average_age,51.4
G2J,median_income,63200.0
G2K,population,12845.0
G2K,average_age,48.5
G2K,median_income,83000.0
G2L,population,14609.0
G2L,average_age,44.0
G2L,median_income,83000.0
G2M,population,5625.0
G2M,average_age,39.7
G2M,median_income,100000.0
G2N,population,8486.0
G2N,average_age,38.5
G2N,median_income,94000.0
G3A,population,20233.0
G3A,average_age,45.1
G3A,median_income,109000.0
G3B,population,8315.0
G3B,average_age,39.3
G3B,median_income,133000.0
G3C,population,10434.0
G3C,average_age,37.7
G3C,median_income,105000.0
G3E,population,16115.0
G3E,average_age,37.6
G3E,median_income,103000.0
G3G,population,10026.0
G3G,average_age,39.4
G3G,median_income,91000.0
G3H,population,10142.0
G3H,average_age,40.6
G3H,median_income,87000.0
G3J,population,10635.0
G3J,average_age,38.1
G3J,median_income,88000.0
G3K,population,20396.0
G3K,average_age,36.1
G3K,median_income,97000.0
G3L,population,11103.0
G3L,average_age,44.7
G3L,median_income,71500.0
G3M,population,7436.0
G3M,average_age,44.5
G3M,median_income,67000.0
G3N,population,11114.0
G3N,average_age,37.6
G3N,median_income,100000.0
G3S,population,6647.0
G3S,average_age,32.6
G3S,median_income,114000.0
G3Z,population,7371.0
G3Z,average_age,50.1
G3Z,median_income,64500.0
G4A,population,3063.0
G4A,average_age,47.3
G4A,median_income,65500.0
G4R,population,20327.0
G4R,average_age,42.2
G4R,median_income,75000.0
G4S,population,4931.0
G4S,average_age,40.4
G4S,median_income,87000.0
G4T,population,12654.0
G4T,average_age,49.1
G4T,median_income,75500.0
G4V,population,6288.0
G4V,average_age,48.6
G4V,median_income,54400.0
G4W,population,13988.0
G4W,average_age,48.2
G4W,median_income,56000.0
G4X,population,15063.0
G4X,average_age,46.5
G4X,median_income,72000.0
G4Z,population,9389.0
G4Z,average_age,45.2
G4Z,median_income,81000.0
G5A,population,8283.0
G5A,average_age,48.9
G5A,median_income,63600.0
G5B,population,5976.0
G5B,average_age,42.6
G5B,median_income,85000.0
G5C,population,11390.0
G5C,average_age,45.7
G5C,median_income,71500.0
G5H,population,6974.0
G5H,average_age,47.7
G5H,median_income,53600.0
G5J,population,6010.0
G5J,average_age,47.7
G5J,median_income,60000.0
G5L,population,28733.0
G5L,average_age,47.6
G5L,median_income,55200.0
G5M,population,8829.0
G5M,average_age,42.4
G5M,median_income,86000.0
G5N,population,8375.0
G5N,average_age,42.4
G5N,median_income,91000.0
G5R,population,20118.0
G5R,average_age,46.7
G5R,median_income,62800.0
G5T,population,2884.0
G5T,average_age,49.7
G5T,median_income,57200.0
G5V,population,10999.0
G5V,average_age,48.8
G5V,median_income,56000.0
G5X,population,6181.0
G5X,average_age,44.4
G5X,median_income,65500.0
G5Y,population,23088.0
G5Y,average_age,46.0
G5Y,median_income,58400.0
G5Z,population,7603.0
G5Z,average_age,40.8
G5Z,median_income,78000.0
G6A,population,2546.0
G6A,average_age,37.2
G6A,median_income,94000.0
G6B,population,8404.0
G6B,average_age,47.5
G6B,median_income,56800.0
G6C,population,7959.0
G6C,average_age,39.5
G6C,median_income,88000.0
G6E,population,13110.0
G6E,average_age,43.3
G6E,median_income,78000.0
G6G,population,20356.0
G6G,average_age,50.0
G6G,median_income,55600.0
G6H,population,7097.0
G6H,average_age,46.5
G6H,median_income,62800.0
G6J,population,10627.0
G6J,average_age,39.4
G6J,median_income,95000.0
G6K,population,8237.0
G6K,average_age,39.7
G6K,median_income,107000.0
G6L,population,15293.0
G6L,average_age,43.6
G6L,median_income,59600.0
G6P,population,29578.0
G6P,average_age,49.6
G6P,median_income,50800.0
G6R,population,4702.0
G6R,average_age,39.0
G6R,median_income,91000.0
G6S,population,5384.0
G6S,average_age,42.9
G6S,median_income,77500.0
G6T,population,11201.0
G6T,average_age,38.9
G6T,median_income,87000.0
G6V,population,32034.0
G6V,average_age,48.9
G6V,median_income,62800.0
G6W,population,25242.0
G6W,average_age,45.0
